content,score
nice app,5
very nice app,4
free,5
WhatsApp is most happy platform is a bast app my mom and dad is a long distance bat whatsApp is cols from mom and dad is a bast 🥹💞💞,5
so cure wat whatsapp,5
"Self chat pin bug, even after pinning multiple times, the self chat doesn't come on the top.",1
tolong adain auto block no spam,4
good,5
good,4
Not nice,1
💜❤️ love it,5
best.....,5
why block regularly whenever I added my contact number and today I add 10 person who are in my contact list,2
good,5
interesting,5
"Dear Team, I am using the translation feature in WhatsApp, but I noticed that the Bengali (Bangla) language is not available in the ""Translate from/to"" options. Bengali is one of the most spoken languages in the world, and adding it would be extremely helpful for millions of users like me to communicate more effectively. Please consider adding Bengali language support in the next update. Thank you.",1
it is very usable,5
Good and reliable,3
"Easy to use,sending file or photos safely...its a great app for communication",5
is very nice 👍🙂,5
😍,5
It is the best messaging app for anyone to use,5
my account is banned,5
it's good,5
Good app to communicate to long distance i give 100star rating,5
naice,5
good,5
good app but ai meta misbehaved alot on the last update,4
whatsapp is a great app and i love it,5
"My watts apps always not on line. Its disappear.Always my wattapps logged out .its always logged out whsts happening?Are messages and calls are being encrepted?for so long time I'm using whatsApp it's only now that it's always disappear,It's affected me most. It's always logged out, as if I will throw my phone,,It resume after 24 hrs and when I'm typing and sending.iy block out again.zWHAT IS THIS WATTS APPS?????why I have just restore my wattapps but it was again block I did not say anything an",3
It's one of the most helpful app for daily communication with our family and friends.😍,5
very nice,5
so expensive,5
very good app for comnication,5
It's very easy to message,5
good,5
"WhatSapp is the fastest, cheapest and easiest means of communication and sending messages .Quite interesting.",5
fro using 8 morth to free years,5
good,5
I have to face loading problem every time,1
nice for chat,4
ओपन नहीं हो र सर,5
amazing app,5
Good,5
good,5
good,5
this aap is very good and I love this aap,5
it's a wonder,5
"it's great.you can send people pictures, videos and voice message it's the best",5
so far I haven't seen any problem or complications . only in searching songs,5
totally reliable,5
I liked,5
easy to use and reliable,5
Just Awesome...,5
It's very interesting,1
Help full app in this world 🥰🥰,5
very wonderful and anything you can do in this aap like chatting or anything,5
good,5
best communication app ever,5
Please whatsapp,1
i like. it,4
can't connect my numbar,1
"reliable app for messaging, but might be stealing your data secretly.",5
WhatsApp is bean ho gaya hai,5
best app service,5
perfect chatting app,5
WhatsApp application is good app,1
gud,5
WhatsApp band ho gaya hai mere pass,5
very good,2
it's hectic for me to restore my account,3
🙏,5
Sakibkhan Haryana mewati India Love you,5
"Watsapp is very good, interesting and helps very many people for example students academically through learning and making research via Meta Al",5
un bin my account,1
wow wow 😲😲😲,5
I like the app,5
amazing,4
best app,5
why you remove character AI chat 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬,1
"we need an update to fix the quality when posting on status, quality of certain pics and videos get removed and become Abit blur",5
Faaaaaaaa Good,5
good,5
Excellent services,5
",🙂💎",3
"Since the last update the symbol shows sent but not delivered, and this is the previous day, until I send another message when both miraculously show delivered. 🤔",3
it is so fast and easy chating,5
I'm having voice call issue for long time and I'm trying to contact costamer service but what's app doesn't have any one to one costamer service. very bed experience.,1
"WhatsApp Apps make my day easier. I used everyday at works, contact with my family, friends and also to connect with other people. I can use voice messaging or typing message. I can share my location.. can make video call with family n friends. I satisfied with this Apps.",5
good,3
This application is really good but the problem on it is that it keeps being out dated on phones like oppo A57,5
good,5
WhatsApp is a very reliable app for communication,5
ok,5
good aaaaaaa,5
plz not hack my WhatsApp,5
after updation the app is not working,1
best messaging app,4
what's app is wonderful chatting very easy people but video Uploading very slow update speed systems 🙏🙏🙏,5
cool,1
Best chating app ever,1
cool,5
Nice So many work are done by this app,4
it's the best app,5
very nice much be good 😊,5
my whatsapp account is ban plz unban my whatsapp account it's emergency,5
very nice,5
"'start chatting' feature is extremely annoying. remove it ASAP. WhatsApp on the whole has become too intrusive and irritating to use. I'm seriously considering quitting WhatsApp and shifting to Made in India messenger app, Arattai.",1
WhatsApp loading problem how I can fix it,1
Best,5
"Whatsapp now feels like business tool with all the unwanted notifications from business accounts, There should be option to mute notifications from business",2
offishal what's app,1
عندى مشكلة...المنشن فى الحالة للواتساب مش شغال عندي بقاله شهرين هل ده طبيعي؟؟..مش بعرف امنشن حد!!,1
best app sent the important information and etc🤩😁🥰😊,5
"1. Lost my backup. I have 2 phone numbers under 1 gmail. I had to uninstall the 2nd WhatsApp and it never restored the chats. 2 If I send a picture or a file, it indicates as forwarded. Fix this. 2. Remove the image compression. Often I send pictures or long screenshots containing text and my friends cannot see the text because of quality compression in Whatsapp.",2
nice app,5
Give us settings so that we can choose who can see our DP. And you can also put wallpaper option for WhatsApp desktop. By the way this app is great I use it very much 💓💓😘😘 well well above mentioned all features are now available but why don't u give us High quality status upload option it's always reduce quality.....so sad 😢,5
It's fast,5
Very helpfull,5
very good,5
"This app is good but older pics can't see anymore,,,it's a very disappointing issue 🥲🥲 please fix it....🙏🙏",3
awesome,5
didn't on WhatsApp open,5
Maza aagya,5
super,4
wow,5
"WhatsApp has been my primary communication tool for over three years. It offers a reliable, user-friendly interface for instant messaging, voice, and video calls. Highly recommended for business and personal use.",5
reliable,5
very gud,5
it's good 😊,4
good app,5
This app is really good I just love it,5
bed whatsapp,1
Best app I have ever seen,5
a+,5
The Best Platform. Period.,5
very nicw,5
ok ok,5
wow🥰❤️,5
good,5
super,5
Excellent app,5
login not available option aare hai,1
"Explore page for whatsapp channels is lagging and uncool one creates a very nice channel but the algorithm can't support,I even feel to uninstall whatsapp only because of that part.",1
perfect,5
WhatsApp not working My phone please my whatsapp problem solved thankyou whatsapp team',1
whats app happy to make a difference between us bu bi ni kr rhi hu to make,5
WhatsApp problem,4
good,5
Voice message not send,1
so hall full ap,2
ok,5
Best Messenger,4
"Not able to backup my chats, automatically or manually. Have tried all the suggested troubleshooting options on the site. Update: Now all my chats are gone. App crashes every time I try to load from backup.",1
it's doing better and I like it so much since I use it to communicate with all my relatives across the word!👍,4
vary nice,5
excellent,5
Good,4
You have improved your app now,3
super,5
best pawan kumar,5
ok,4
whatsapp sekat memori dengan aeriaya,5
it's ok,4
Good mhani,5
Good app,3
very good application,5
it is good to use and quick response,5
good and fine,5
good and helpful,5
this app is better for social media user i like this app,5
Best Good,5
wow,5
Mera watsap help ho gyw,5
good app,5
nice ❤️❤️,5
good luck,5
best,4
Why can't i login into my account??,1
thanks alot sap,5
this is the best app ever I really enjoy using it,5
likes and good,5
because of Network issues not able to call or send messages.,1
bad,1
Account in Review Emergency unban Request My number is banned from whatsapp Kindly reactivate it,5
very good,5
good,5
very good,5
no experience in app 😕,1
good,5
seams as a back door to my accounts,1
"The app is good. I really appreciate this if I post on my status only one person can't see it, I've checked the settings and all the person also checked but it didn't work. please I'll really appreciate it if it can be rectified. That one person is so important to me and I just can't post without the person having not to view it Anytime I post I have to tag him and it gets really tiring. but all in all, this app is the best when it comes to messaging and the features are top notch. Thanks alot.",5
nice one,4
message with my friends,5
proxy server,5
